,time,location,x,y
39,0,Loc10,527.242,197.507
69,33031,Loc10,527.008,197.65599999999998
89,66642,Loc10,526.654,197.898
109,100160,Loc10,526.175,198.392
129,133099,Loc10,525.771,198.52200000000002
149,166824,Loc10,525.279,198.757
169,199814,Loc10,524.673,199.206
189,233133,Loc10,524.457,199.35
209,267304,Loc10,524.2919999999999,199.512
229,300159,Loc10,524.21,199.59400000000002
249,333046,Loc10,524.232,199.71900000000002
269,366963,Loc10,524.232,199.613
289,400278,Loc10,524.394,199.49
309,433012,Loc10,524.46,199.53400000000002
329,466672,Loc10,524.503,199.36599999999999
349,500002,Loc10,524.352,199.507
369,533695,Loc10,524.375,199.47299999999998
389,566796,Loc10,524.482,199.42
409,599968,Loc10,524.567,199.477
429,633494,Loc10,524.531,199.575
449,666687,Loc10,524.484,199.708
469,700094,Loc10,524.401,199.85
489,733491,Loc10,524.4,199.9
509,766732,Loc10,524.377,199.93
529,799997,Loc10,524.33,199.935
549,833343,Loc10,524.396,199.958
569,866967,Loc10,524.359,200.00599999999997
589,900190,Loc10,524.344,200.11900000000003
609,933479,Loc10,524.242,200.158
629,966699,Loc10,524.256,200.16400000000002
649,999918,Loc10,524.2909999999999,200.141
669,1033090,Loc10,524.326,200.127
689,1066820,Loc10,524.335,199.988
709,1100009,Loc10,524.2669999999999,200.22799999999998
729,1133475,Loc10,524.225,200.19799999999998
749,1166858,Loc10,524.196,200.175
769,1200067,Loc10,524.299,200.157
789,1233118,Loc10,524.266,200.217
809,1266690,Loc10,524.2280000000001,200.204
829,1299989,Loc10,524.231,200.229
849,1334060,Loc10,524.169,200.261
869,1367252,Loc10,524.245,200.15900000000002
889,1400225,Loc10,524.316,200.2
909,1433315,Loc10,524.249,200.222
929,1466379,Loc10,524.259,200.271
949,1500488,Loc10,524.214,200.33
969,1533097,Loc10,524.279,200.33
989,1566986,Loc10,524.281,200.465
1009,1599816,Loc10,524.245,200.372
1029,1633796,Loc10,524.339,200.558
1049,1666870,Loc10,524.2869999999999,200.632
1069,1699998,Loc10,524.219,200.553
1089,1733121,Loc10,524.096,200.46599999999998
1109,1766831,Loc10,524.045,200.493
1129,1800280,Loc10,524.196,200.493
1149,1833160,Loc10,524.1080000000001,200.467
1169,1866894,Loc10,524.178,200.511
1189,1900093,Loc10,524.187,200.377
1209,1933051,Loc10,524.1619999999999,200.46200000000002
1229,1966443,Loc10,524.12,200.507
1249,1999750,Loc10,524.05,200.426
1269,2033078,Loc10,523.974,200.326
1289,2066437,Loc10,524.0369999999999,200.403
1309,2100210,Loc10,524.031,200.41
1329,2133694,Loc10,524.111,200.32
1349,2166807,Loc10,524.009,200.30900000000003
1369,2200567,Loc10,524.0459999999999,200.255
1389,2233672,Loc10,524.056,200.44299999999998
1409,2266867,Loc10,523.979,200.356
1429,2300185,Loc10,524.057,200.292
1449,2333156,Loc10,523.994,200.27599999999998
